Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,"Egypt, Arab Rep.",EGY,86.383601757,86.3288580915,86.2756264237,86.2238449656,86.1734552508,86.1244019139,86.0766324879,86.0300972167,85.9847488825,85.9405426457,85.8974358974,84.9965108165,85.0622406639,85.0684931507,84.8299319728,84.3707713126,84.2711864407,79.1612903226,79.1612903226,79.1612903226
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,El Salvador,SLV,55.2365724253,58.6622231552,61.4799670003,63.8384326473,65.8414484306,67.5637393768,67.5637393768,67.5637393768,67.5637393768,67.5637393768,67.5637393768,67.5637393768,67.5637393768,67.5637393768,67.5637393768,67.5637393768,67.5637393768,67.5637393768,67.5637393768,67.5637393768
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Equatorial Guinea,GNQ,5.7471264368,5.5928411633,5.4466230937,5.3078556263,5.1759834369,5.0505050505,5.0505050505,5.0505050505,5.0505050505,5.0505050505,5.0505050505,5.0505050505,5.0505050505,5.0505050505,5.0505050505,5.0505050505,5.0505050505,5.0505050505,5.0505050505,5.0505050505
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Eritrea,ERI,70.1499758104,77.9277796071,84.388185654,89.8397703066,94.5017182131,94.5017182131,94.5017182131,94.5017182131,94.5017182131,94.5017182131,94.5017182131,94.5017182131,94.5017182131,94.5017182131,94.5017182131,94.5017182131,94.5017182131,94.5017182131,94.5017182131,94.5017182131
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Estonia,EST,2.4477803412,2.6502504041,2.1231422505,3.2992052554,4.5915728134,0.8477784413,0.6359541575,0.4143947655,0.2594774913,0.3061633202,0.2258554414,0.230380422,0.2719779277,0.2756367413,0.2928889844,0.3059335164,0.2529173781,0.250223245,0.2945885221,0.4829861663
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Eswatini,SWZ,96.5451055662,96.0656990069,95.5910300266,95.1210287443,94.6556266466,94.1947565543,94.1947565543,94.1947565543,94.1947565543,94.1947565543,94.1947565543,94.1947565543,94.1947565543,94.1947565543,94.1947565543,94.1947565543,94.1947565543,94.1947565543,94.1947565543,94.1947565543
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Ethiopia,ETH,..,..,93.6308024469,91.7316133656,90.2435127489,89.0460622559,89.376182577,89.6832767374,89.9746982191,90.2570558969,90.5190922367,90.7674028039,91.0030385321,91.2269457368,91.4399788171,91.6429111513,91.8199052133,91.8364444782,91.8364444782,91.8364444782
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Fiji,FJI,61.1995104039,60.7238280301,60.255483249,59.7943075819,59.3401376691,58.8928150766,58.8928150766,58.8928150766,58.8928150766,58.8928150766,58.8928150766,58.8928150766,58.8928150766,58.8928150766,58.8928150766,58.8928150766,58.8928150766,58.8928150766,58.8928150766,58.8928150766
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Finland,FIN,2.1307541485,2.1486143182,2.1667764299,2.1839596323,2.2014175495,2.2191568224,1.2468482447,4.9901732628,6.3582929969,7.7139912102,9.0574363056,10.3887936556,11.6612675058,12.9123632536,14.2776858134,15.547024952,17.3913043478,17.3913043478,14.2857142857,13.7931034483
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,France,FRA,14.8927064865,14.5663998044,13.2573299966,16.2459019612,15.1604986748,13.8643677482,14.3798555062,12.5230847609,8.9023425407,11.0350396742,10.6130589964,10.0709878591,10.3802159427,10.2220421991,7.744440781,11.4276568502,11.7742728545,10.9218436874,11.125181571,11.125181571
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
