Total Water Withdrawals (bcm),GDP (current US$),Agriculture Water Withdrawals (%),Water Stress Level (%),Domestic Water Withdrawals (%),Water Productivity (2015 US$ GDP per cubic meter),Average Precipitation (mm per year),Renewable Internal Water Resources (bcm),Industry Water Withdrawals (%),Total Population,Year,Country
62.22,1.39708E+12,56.21586894,2.941843972,26.46161259,24.2531975,1761,5661,17.32251847,190779453,2007,Brazil
0.0438,1682016947,8.675799087,2.565905097,45.66210046,41.35475396,788,5.23,45.66210046,1983465,2007,Lesotho
0.2801,2576518846,79.25740807,10.19286754,15.38736166,11.45246867,1274,10.06,5.355230275,11874838,2019,Burundi
0.233281818,13150159574,43.16694149,201.1050157,51.27916854,79.76352249,83,0.004,5.553889972,833451,2004,Bahrain
62.44,1.36348E+12,28.01793148,3.970886104,26.22478386,21.83666021,460,4312,45.75728466,144096870,2015,Russian Federation
2.22095,7006402592,92.97613688,11.80728336,4.412426835,4.911621097,686,25.8,2.61143629,10180950,2002,Senegal
1.854013333,3991284895,64.00888883,6.039131379,18.834816,4.22931681,1026,58.13,17.15629517,3951736,2003,Georgia
2.661,3.34337E+11,5.056179775,3.83982684,38.4019975,145.4152725,624,171,56.54182272,8958229,2003,Sweden
32.74566667,3.41126E+12,0.798114865,44.88167032,28.27194276,90.51813477,700,107,70.92961866,81902307,2009,Germany
0.2208,27642086581,74.04408457,30.18042646,23.79667117,98.416527,498,0.78,2.159244265,1145086,2011,Cyprus
2.088,40895322844,91.95402299,1.177001127,6.513409962,18.29177685,1146,303.5,1.53256705,11777315,2019,Bolivia
0.3818,41435533340,15.6024476,2.752703677,33.36484316,108.5268029,656,15.46,48.02707812,2904910,2015,Lithuania
0.301538346,4068224991,65.34911207,9.984713439,28.3498651,15.73778728,1212,9.5,6.301022825,9523168,2007,Rwanda
2.118,14698000000,67.56373938,13.21272614,22.3796034,8.971846066,1784,15.63,10.05665722,6037817,2005,El Salvador
15.08,89239370109,30.0066313,19.53874061,22.00265252,6.697955,565,55.1,48.01061008,47105171,2005,Ukraine
64.82,1.65733E+12,28.75655662,4.122242749,26.45788337,22.06286802,460,4312,44.78556001,144477859,2018,Russian Federation
175.1115,79904985385,94.29706216,107.4237777,4.016869252,0.888001989,494,55,1.686068591,163262807,2002,Pakistan
0.6836,25839749199,10.51784669,0.226883505,68.00760679,40.79495834,1543,900,21.47454652,68654269,2011,"Congo, Dem. Rep."
3.015,43454935940,80.35604175,76.55587436,14.79797194,13.54848512,207,4.195,4.84598631,10784504,2009,Tunisia
10.87,4.75697E+11,10.61108043,37.62547594,18.97662433,37.64261474,600,53.6,70.41229523,38042794,2010,Poland
1.607,18528601901,73.30429372,4.621268764,19.60174238,11.86807496,1976,90.66,7.093963908,8792367,2012,Honduras
3.218,45405587557,59.26041019,26.52926628,36.85518956,17.32408431,630,20.7,3.884400249,41517895,2010,Kenya
10.99,5272798391,58.03141456,48.5316847,8.060668797,1.084442044,447,8.115,33.90791665,8048600,2000,Azerbaijan
1.1715,29242558797,7.79342723,5.040877797,39.00981647,41.00578561,824,12.6,53.1967563,5388720,2000,Slovak Republic
0.6637,1.0088E+11,2.743902439,2.855851979,51.2195122,117.4216499,824,12.6,46.03658537,5379233,2008,Slovak Republic
2.323225744,16853991177,91.27053494,12.35101406,7.201900179,5.905484711,686,25.8,1.527564883,11872929,2008,Senegal
4.032,92202956321,80.20833333,33.23990107,12.27678571,19.88223471,630,20.7,7.514880952,49953304,2018,Kenya
8.419,2.69966E+12,14.04988124,14.35464621,73.95486936,356.147247,1220,145,11.99524941,65611593,2016,United Kingdom
1.162,58011466451,51.63511188,5.087565674,27.53872633,48.49399294,1348,76.84,20.82616179,25493988,2018,Cote d'Ivoire
2.077734833,1.4863E+11,1.03514683,346.2891389,46.40412973,93.5466902,2497,0.6,52.56072344,4401365,2006,Singapore
1.4447,4063089192,94.34484668,3.298401827,4.243095452,2.791444242,2387,241,1.412057867,743966,2012,Guyana
29.197,1.25322E+12,57.85823042,85.22183304,26.00961887,44.78835575,1274,64.85,16.13215071,49936638,2011,"Korea, Rep."
39.983,2.28416E+11,91.5,56.15589888,3.25,3.983013174,216,35.2,5.25,36746488,2014,Iraq
